Job_id,department,job_level,job_role,business_travel,business_travel_cat,distance_home,overtime,standard_hours
1,Sales,analyst,Sales Executive,2,rarely,1,Yes,80
2,Research & Development,analyst,Research Scientist,3,frequently,8,No,80
3,Research & Development,associate,Laboratory Technician,2,rarely,2,Yes,80
4,Research & Development,associate,Research Scientist,3,frequently,3,Yes,80
5,Research & Development,associate,Laboratory Technician,2,rarely,2,No,80
6,Research & Development,associate,Laboratory Technician,3,frequently,2,No,80
7,Research & Development,associate,Laboratory Technician,2,rarely,3,Yes,80
8,Research & Development,associate,Laboratory Technician,2,rarely,24,No,80
9,Research & Development,specialist,Manufacturing Director,3,frequently,23,No,80
10,Research & Development,analyst,Healthcare Representative,2,rarely,27,No,80
11,Research & Development,associate,Laboratory Technician,2,rarely,16,No,80
12,Research & Development,analyst,Laboratory Technician,2,rarely,15,Yes,80
13,Research & Development,associate,Research Scientist,2,rarely,26,No,80
14,Research & Development,associate,Laboratory Technician,2,rarely,19,No,80
15,Research & Development,associate,Laboratory Technician,2,rarely,24,Yes,80
16,Research & Development,specialist,Manufacturing Director,2,rarely,21,No,80
17,Research & Development,associate,Research Scientist,2,rarely,5,Yes,80
18,Research & Development,associate,Laboratory Technician,1,non travel,16,Yes,80
19,Sales,manager,Manager,2,rarely,2,No,80
20,Research & Development,associate,Research Scientist,2,rarely,2,Yes,80
21,Research & Development,analyst,Manufacturing Director,1,non travel,11,No,80
22,Sales,associate,Sales Representative,2,rarely,9,No,80
23,Research & Development,specialist,Research Director,2,rarely,7,No,80
24,Research & Development,associate,Research Scientist,2,rarely,15,No,80
25,Research & Development,associate,Research Scientist,2,rarely,6,No,80
26,Research & Development,director,Manager,2,rarely,5,No,80
27,Research & Development,associate,Research Scientist,3,frequently,16,Yes,80
28,Sales,analyst,Sales Executive,2,rarely,8,No,80
29,Research & Development,specialist,Healthcare Representative,2,rarely,7,No,80
30,Sales,director,Manager,2,rarely,2,No,80
31,Research & Development,associate,Laboratory Technician,2,rarely,2,No,80
32,Research & Development,analyst,Healthcare Representative,2,rarely,10,Yes,80
33,Research & Development,associate,Laboratory Technician,2,rarely,9,No,80
34,Sales,analyst,Sales Representative,2,rarely,5,No,80
35,Research & Development,associate,Research Scientist,2,rarely,1,Yes,80
36,Research & Development,associate,Research Scientist,2,rarely,2,No,80
37,Sales,associate,Sales Representative,2,rarely,3,Yes,80
38,Sales,associate,Sales Representative,2,rarely,2,No,80
39,Research & Development,associate,Research Scientist,2,rarely,5,Yes,80
40,Sales,analyst,Sales Executive,3,frequently,1,No,80
41,Research & Development,associate,Laboratory Technician,2,rarely,4,No,80
42,Research & Development,associate,Laboratory Technician,2,rarely,2,No,80
43,Research & Development,associate,Laboratory Technician,2,rarely,25,No,80
44,Sales,specialist,Sales Executive,3,frequently,8,No,80
45,Research & Development,analyst,Laboratory Technician,3,frequently,1,No,80
46,Research & Development,director,Research Director,2,rarely,12,No,80
47,Sales,analyst,Sales Executive,1,non travel,23,No,80
48,Research & Development,associate,Research Scientist,2,rarely,19,No,80
49,Sales,analyst,Sales Executive,3,frequently,5,Yes,80
50,Research & Development,associate,Laboratory Technician,2,rarely,8,No,80
51,Research & Development,specialist,Laboratory Technician,2,rarely,1,Yes,80
52,Research & Development,associate,Laboratory Technician,2,rarely,5,Yes,80
53,Sales,analyst,Sales Executive,2,rarely,1,Yes,80
54,Research & Development,specialist,Healthcare Representative,1,non travel,11,Yes,80
55,Sales,analyst,Sales Executive,2,rarely,23,Yes,80
56,Research & Development,specialist,Research Director,3,frequently,1,Yes,80
57,Sales,specialist,Sales Executive,3,frequently,18,No,80
58,Research & Development,associate,Laboratory Technician,2,rarely,23,Yes,80
59,Research & Development,analyst,Laboratory Technician,2,rarely,7,No,80
60,Research & Development,analyst,Manufacturing Director,2,rarely,1,No,80
61,Research & Development,analyst,Manufacturing Director,2,rarely,1,Yes,80
62,Research & Development,analyst,Laboratory Technician,3,frequently,29,No,80
63,Research & Development,director,Research Director,2,rarely,7,Yes,80
64,Sales,specialist,Sales Executive,2,rarely,25,No,80
65,Research & Development,specialist,Healthcare Representative,2,rarely,8,No,80
66,Research & Development,manager,Manager,2,rarely,8,Yes,80
67,Research & Development,analyst,Manufacturing Director,3,frequently,11,No,80
68,Research & Development,specialist,Research Scientist,2,rarely,7,No,80
69,Research & Development,associate,Research Scientist,3,frequently,1,No,80
70,Research & Development,associate,Research Scientist,2,rarely,9,Yes,80
71,Sales,analyst,Sales Executive,3,frequently,1,No,80
72,Research & Development,associate,Research Scientist,2,rarely,2,No,80
73,Research & Development,associate,Research Scientist,2,rarely,1,No,80
74,Research & Development,analyst,Research Scientist,2,rarely,1,No,80
75,Research & Development,associate,Laboratory Technician,2,rarely,6,No,80
76,Research & Development,analyst,Manufacturing Director,2,rarely,8,No,80
77,Sales,analyst,Sales Executive,2,rarely,1,No,80
78,Research & Development,specialist,Research Director,2,rarely,6,Yes,80
79,Research & Development,specialist,Research Director,2,rarely,7,No,80
80,Human Resources,analyst,Human Resources,2,rarely,5,Yes,80
81,Research & Development,analyst,Laboratory Technician,2,rarely,1,Yes,80
82,Research & Development,associate,Research Scientist,2,rarely,1,No,80
83,Sales,specialist,Sales Executive,2,rarely,1,No,80
84,Research & Development,analyst,Research Scientist,1,non travel,6,Yes,80
85,Research & Development,analyst,Manufacturing Director,2,rarely,1,No,80
86,Research & Development,specialist,Manufacturing Director,2,rarely,7,No,80
