employee_id,attrition,age,age_interval,gender,education,education_cat,education_area,marital_status,department,job_level,job_role,business_travel,business_travel_cat,distance_home,distance_interval,overtime,standard_hours,daily_rate,hourly_rate,monthly_income,monthly_rate,annual_income,companies_worked,salary_hike_per,stock_option,working_years,training_lastyear,years_company,years_curr_role,years_last_promotion,years_curr_manager,environment_satisf,environment_satisf_cat,worklife_balance,worklife_balance_cat,job_involvement,job_involvement_cat,job_satisfaction,job_satisf_cat,performance_rating,performance_rating_cat,relationship_satisf,relationship_satisf_cat
RDO0001,Yes,41,40-49,Female,2,College,Life Sciences,Single,Sales,analyst,Sales Executive,2,rarely,1,1-5,Yes,80,1102,94,5993,19479,83902,8,11,0,8,0,6,4,0,5,2,Medium,1,Bad,3,High,4,Very High,3,Excellent,1,Low
RDO0002,No,49,40-49,Male,1,Below College,Life Sciences,Married,Research & Development,analyst,Research Scientist,3,frequently,8,6-10,No,80,279,61,5130,24907,71820,1,23,1,10,3,10,7,1,7,3,High,3,Better,2,Medium,2,Medium,4,Outstanding,4,Very High
RDO0003,Yes,37,30-39,Male,2,College,Other,Single,Research & Development,associate,Laboratory Technician,2,rarely,2,1-5,Yes,80,1373,92,2090,2396,29260,6,15,0,7,3,0,0,0,0,4,Very High,3,Better,2,Medium,3,High,3,Excellent,2,Medium
RDO0004,No,33,30-39,Female,4,Master,Life Sciences,Married,Research & Development,associate,Research Scientist,3,frequently,3,1-5,Yes,80,1392,56,2909,23159,40726,1,11,0,8,3,8,7,3,0,4,Very High,3,Better,3,High,3,High,3,Excellent,3,High
RDO0005,No,27,18-29,Male,1,Below College,Medical,Married,Research & Development,associate,Laboratory Technician,2,rarely,2,1-5,No,80,591,40,3468,16632,48552,9,12,1,6,3,2,2,2,2,1,Low,3,Better,3,High,2,Medium,3,Excellent,4,Very High
RDO0006,No,32,30-39,Male,2,College,Life Sciences,Single,Research & Development,associate,Laboratory Technician,3,frequently,2,1-5,No,80,1005,79,3068,11864,42952,0,13,0,8,2,7,7,3,6,4,Very High,2,Good,3,High,4,Very High,3,Excellent,3,High
RDO0007,No,59,50-59,Female,3,Bachelor,Medical,Married,Research & Development,associate,Laboratory Technician,2,rarely,3,1-5,Yes,80,1324,81,2670,9964,37380,4,20,3,12,3,1,0,0,0,3,High,2,Good,4,Very High,1,Low,4,Outstanding,1,Low
RDO0008,No,30,30-39,Male,1,Below College,Life Sciences,Divorced,Research & Development,associate,Laboratory Technician,2,rarely,24,20+,No,80,1358,67,2693,13335,37702,1,22,1,1,2,1,0,0,0,4,Very High,3,Better,3,High,3,High,4,Outstanding,2,Medium
RDO0009,No,38,30-39,Male,3,Bachelor,Life Sciences,Single,Research & Development,specialist,Manufacturing Director,3,frequently,23,20+,No,80,216,44,9526,8787,133364,0,21,0,10,2,9,7,1,8,4,Very High,3,Better,2,Medium,3,High,4,Outstanding,2,Medium
RDO0010,No,36,30-39,Male,3,Bachelor,Medical,Married,Research & Development,analyst,Healthcare Representative,2,rarely,27,20+,No,80,1299,94,5237,16577,73318,6,13,2,17,3,7,7,7,7,3,High,2,Good,3,High,3,High,3,Excellent,2,Medium
